,id,old_id,order,page_number,entry,gloss,created_at,updated_at,created_by,updated_by,lexicon_id,extra_data
146,2369,0147,1470,89,au̯o-s,maternal grandfather,2015-04-16 08:01:58,2015-04-16 08:01:58,loader,loader,1,
147,2370,0148,1480,90,aus-,"to draw (water); scoop, ladle",2015-04-16 08:01:59,2015-04-16 08:01:59,loader,loader,1,
148,2371,0149,1490,91,"baˣb-, bhaˣbh-, paˣp-",to swell,2015-04-16 08:02:00,2015-04-16 08:02:00,loader,loader,1,
149,2372,0150,1500,91-92,baba-,"<b>babble</b>, babbling, unclear speech",2015-04-16 08:02:00,2015-04-16 08:02:00,loader,loader,1,
150,2373,0151,1510,92,badi̯os,"<b>bay</b>, brown; gold, yellow",2015-04-16 08:02:01,2015-04-16 08:02:01,loader,loader,1,
151,2374,0152,1520,92-93,"baitā, or paitā?","goatskin; cloak, mantle",2015-04-16 08:02:01,2015-04-16 08:02:01,loader,loader,1,
152,2375,0153,1530,93,bak-,"stick, staff; to hit, <b>peg</b>",2015-04-16 08:02:02,2015-04-16 08:02:02,loader,loader,1,
153,2376,0154,1540,93,"bal-, balbal-","to dance, shake, whirl",2015-04-16 08:02:04,2015-04-16 08:02:04,loader,loader,1,
154,2377,0155,1550,93,bal-bal-,"babbling, unclear speech",2015-04-16 08:02:04,2015-04-16 08:02:04,loader,loader,1,
155,2378,0156,1560,93-94,baˣmb-,(type of noise),2015-04-16 08:02:04,2015-04-16 08:02:04,loader,loader,1,
156,2379,0157,1570,94-95,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",to swell,2015-04-16 08:02:04,2015-04-16 08:02:04,loader,loader,1,
157,2380,0158,1580,95,band-,drop (of liquid)?,2015-04-16 08:02:04,2015-04-16 08:02:04,loader,loader,1,
158,2381,0159,1590,95,bar-bar-,"babbling, unclear speech",2015-04-16 08:02:04,2015-04-16 08:02:04,loader,loader,1,
159,2382,0160,1600,95,bata-,"babble, murmur, meaningless stuttering",2015-04-16 08:02:04,2015-04-16 08:02:04,loader,loader,1,
160,2383,0161,1610,95,bau,<b>bow-wow</b> (onomatopoeic: dog barking),2015-04-16 08:02:04,2015-04-16 08:02:04,loader,loader,1,
161,2384,0162,1620,95,bdel-,to suck,2015-04-16 08:02:04,2015-04-16 08:02:04,loader,loader,1,
162,2385,0163,1630,96,"bē, bā",baa (onomatopoeic: sheep bleating),2015-04-16 08:02:04,2015-04-16 08:02:04,loader,loader,1,
163,2386,0164,1640,96,bed-,to swell,2015-04-16 08:02:04,2015-04-16 08:02:04,loader,loader,1,
164,2387,0165,1650,96,1. bel-,"to cut off, cut out",2015-04-16 08:02:05,2015-04-16 08:02:05,loader,loader,1,
165,2388,0166,1660,96,2. bel-,strong,2015-04-16 08:02:05,2015-04-16 08:02:05,loader,loader,1,
166,2389,0167,1670,96-97,"bend-, bṇd-no-","spike, needle, tip jutting out",2015-04-16 08:02:05,2015-04-16 08:02:05,loader,loader,1,
167,2390,0168,1680,97-98,"1. b(e)u-, bh(e)u-",(onomatopoeic: dull noise),2015-04-16 08:02:06,2015-04-16 08:02:06,loader,loader,1,
168,2391,0169,1690,98-102,"2. b(e)u-, bh(e)ū̆-","to <b>boil</b>, swell, <b>puff</b> up",2015-04-16 08:02:06,2015-04-16 08:02:06,loader,loader,1,
169,2392,0170,1700,102,bis-(t)li-,gall,2015-04-16 08:02:13,2015-04-16 08:02:13,loader,loader,1,
170,2393,0171,1710,102,blat-,"to chat, prattle",2015-04-16 08:02:13,2015-04-16 08:02:13,loader,loader,1,
171,2394,0172,1720,102,blē-,to bleat,2015-04-16 08:02:13,2015-04-16 08:02:13,loader,loader,1,
172,2395,0173,1730,102,"blou-, bhlou-?, plou-",<b>flea</b>,2015-04-16 08:02:13,2015-04-16 08:02:13,loader,loader,1,
173,2396,0174,1740,103,bol-,"<b>bulb</b>, tuber",2015-04-16 08:02:14,2015-04-16 08:02:14,loader,loader,1,
174,2397,0175,1750,103,"brangh-, brongh-?",hoarse?,2015-04-16 08:02:15,2015-04-16 08:02:15,loader,loader,1,
175,2398,0176,1760,103,breuq-,to jump,2015-04-16 08:02:15,2015-04-16 08:02:15,loader,loader,1,
176,2399,0177,1770,103,bronk-,"to lock, shut in",2015-04-16 08:02:15,2015-04-16 08:02:15,loader,loader,1,
177,2400,0178,1780,103,bu-,"lip; kiss, <b>buss</b>",2015-04-16 08:02:15,2015-04-16 08:02:15,loader,loader,1,
178,2401,0179,1790,104-5,"1. bhā-, bhō-, bhə-","to shine, glisten",2015-04-16 08:02:15,2015-04-16 08:02:15,loader,loader,1,
179,2402,0180,1800,105-6,2. bhā-,to speak,2015-04-16 08:02:22,2015-04-16 08:02:22,loader,loader,1,
180,2403,0181,1810,106,bhabhā,<b>bean</b>,2015-04-16 08:02:29,2015-04-16 08:02:29,loader,loader,1,
181,2404,0182,1820,106,bhā̆d-,"good, <b>better</b>",2015-04-16 08:02:30,2015-04-16 08:02:30,loader,loader,1,
182,2405,0183,1830,107,1. bhag-,"to divide, apportion",2015-04-16 08:02:32,2015-04-16 08:02:32,loader,loader,1,
183,2406,0184,1840,107,2. bhag-,sharp,2015-04-16 08:02:33,2015-04-16 08:02:33,loader,loader,1,
184,2407,0185,1850,107-8,bhāgó-s,<b>beech</b> (tree),2015-04-16 08:02:33,2015-04-16 08:02:33,loader,loader,1,
185,2408,0186,1860,108,bhā̆gh-,"bog, swamp, lowland",2015-04-16 08:02:37,2015-04-16 08:02:37,loader,loader,1,
186,2409,0187,1870,108,bhāg̑hú-s,"elbow, forearm",2015-04-16 08:02:37,2015-04-16 08:02:37,loader,loader,1,
187,2410,0188,1880,108-9,bhar- : bhor- : bhr̥-,"<b>burr</b>, stubble; something jutting out",2015-04-16 08:02:38,2015-04-16 08:02:38,loader,loader,1,
188,2411,0189,1890,109,bharu-,"(fir) tree, forest",2015-04-16 08:02:39,2015-04-16 08:02:39,loader,loader,1,
189,2412,0190,1900,109-10,"bhares-, bhores-","point, <b>bristle</b>, stubble (with formants)",2015-04-16 08:02:39,2015-04-16 08:02:39,loader,loader,1,
190,2413,0191,1910,110,bhardhā,<b>beard</b>,2015-04-16 08:02:41,2015-04-16 08:02:41,loader,loader,1,
191,2414,0192,1920,110-11,"bharek<sup>u̯</sup>-, or bh<sub>e</sub>rek<sup>u̯</sup>-","to <b>farce</b>, stuff full",2015-04-16 08:02:44,2015-04-16 08:02:44,loader,loader,1,
192,2415,0193,1930,111,bhares-,<b>barley</b>,2015-04-16 08:02:45,2015-04-16 08:02:45,loader,loader,1,
193,2416,0194,1940,111,bhasko-,"heap, bundle, <b>fascicle</b>",2015-04-16 08:02:46,2015-04-16 08:02:46,loader,loader,1,
194,2417,0195,1950,111,"bhāso-, or bhēso-",(large bird of prey),2015-04-16 08:02:47,2015-04-16 08:02:47,loader,loader,1,
195,2418,0196,1960,111-12,bhāt- : bhət-,"to <b>bat</b>, hit",2015-04-16 08:02:47,2015-04-16 08:02:47,loader,loader,1,
196,2419,0197,1970,112,1. bhā̆u- : bhū̆-,"to hit, <b>beat</b>",2015-04-16 08:02:48,2015-04-16 08:02:48,loader,loader,1,
