Root,Meaning,Closest Concepticon Match (unreliable)
gang-,"to mock, scorn","ACORN, TWO, LOCK"
"ǵēi-, ǵī-",to sprout,"TWO, TROUT"
"2. gel-, and gʷel-","to <b>glut</b>, devour, envelop","ENVELOPE, TWO, GLUE"
"geng-, gong-",lump,JUMP
"gʰe-, gʰo-",(enclitic (emphatic?) particle),
gʰelǵʰ-,gland,LAND
"ǵʰerdʰ-, and gʰerdʰ-","to <b>gird</b>, enclose, encompass","COMPASS, GIRL, TWO"
"5. ǵʰer-, ǵʰor-nā",bowels,BOWL
gʰom-,stall,SMALL
gʰou-ro-s,"frightened, frightening",FRIGHTEN
gʰreib-,"to <b>grip</b>, grab","GREY, TWO, CRAB"
ǵʰu̯en-,to sound,"WOUND, TWO"
ǵ(<sub>e</sub>)lōu̯-,sister-in-law,SISTER-IN-LAW
?*g(ʷ)ʰer-{1},to drip,"DROP, TWO"
"gʷii̯ā, gʷii̯ós",sinew,SNOW
ʰā̆,(surprise: <b>ha</b>! oh!),"SURPRISED, HE, OR"
*h₃erg-{1},to perish,"PENIS, TWO"
*h₂teu̯g/g̑-{1},Spread terror,"SPEAK, MIRROR"
*h₂u̯ei̯-,run/walk,
i̯ēk- : i̯ək-,to heal,"MEAL, TWO"
"i̯énəter-, weak case i̯<sub>e</sub>nətr-, i̯n̥̄tr-",sister-in-law,SISTER-IN-LAW
i̯et-,"to set out, strive for","OAT, FAR, PET, STRIKE, TWO"
?2.*i̯eu̯-{1},(sich) fernhalten; weichen,RICH
i̯euǵ-,"to excite, arouse; unsteady","INSTEAD, TWO, LOUSE, EXCITED"
2. i̯ū̆,<b>yowl</b> (exclamation of joy/wonder),"OR, FOWL"
kai-ko-,"one-eyed, <b>cyclopean</b>",
kāk-,to croak; cracking sound,"WOUND, TWO, CLOAK"
kapro-,he-goat,HE-GOAT
"ḱas-, ḱas-no-",gray,GREY
kau-,"to humble, discourage","TWO, MUMBLE"
kaus-,to draw lots,"TWO, LOTUS, DRAG"
ked-,to smoke,"SPOKE, TWO"
?2.*k̑ei̯-{1},fallen [UNKNOWN],FALCON
ḱē(i)- : ḱō(i)- : ḱə(i)-,"to <b>hone</b>, whet, sharpen","WHAT, TWO, SHAPE, HONEY"
ḱekʷ-,"to defecate; dung, excrement","LUNG, TWO, DEFECT, EXCITEMENT"
"7. kel-, kol-, k<sub>o</sub>l-","<b>calix</b>, <b>chalice</b>, goblet, beaker","CALF, TABLET, BAKER"
*k̑en-{1},rise,WISE
1. kenk-,"to bind, gird","GIRL, TWO, BEND"
"ḱerbero-, and kerbero-","checkered, variegated",
1. kerd-,to gird,"GIRL, TWO"
"ḱerə-, ḱrā-",to cook,"LOOK, TWO"
"ḱīō̆n-, ḱīsō̆n-?",pillar,COLLAR
klau-,to weep,"WEEK, TWO"
kleiḱ-,to press/squeeze (painfully),"PAINFUL, TWO"
"ko ko, kak(k)-, ku(r)kur-",(onomatopoeic: sound of cock/hen),"WOUND, OR"
"konəmo-, knāmo-, or k<sub>e</sub>nəmo-",shinbone,
kopso-,blackbird,BLACKBOARD
"ḱrebʰ-, ḱrō̆bʰ-, ḱrembʰ-",to entrust,TWO
"1. kreg-, and kerg-?",to torment,"FERMENT, TWO"
"2. krek-, kr̥k-","<b>roe</b>, fish/frog spawn","RYE, LAWN"
?*k̑sed-{1},'zerlegen' → 'auftischen' [UNKNOWN],I
k<sub>e</sub>nəkó-,"golden, <b>honey</b>-colored",GOLD
ḱþei-,to settle,"NETTLE, TWO"
"kþē(i)-, kþə(i)-","to gain, acquire, possess","ACQUIT, AGAIN, TWO"
ku̯ak-,"(onomatopoeic: to <b>quack</b>, croak)","CLOAK, TWO, BACK"
"ḱu̯ek-, nasalized ḱu̯enk- : ḱuk-",to gape,"TWO, GAME"
ḱu̯el-,muddy,MIDDAY
2. ku̯elp-,"to curve, vault","TWO, CARVE, FAULT"
ḱu̯en-,to celebrate; saint,"SHIN, TWO"
"ḱu̯endʰ-ro-, -no-",(type of plant),"OR, PLAN, TULE"
2. kʷe-,(indefinite/interrogative pronoun),
kʷene,"(particle: uncertainty, generalization)",
?*k(ʷ)h₂eg̑-{1},consume,CONJURE
"kʷo-, kʷe-, fem. kʷā, kʷei-",(indefinite/interrogative pronoun),
lai-,"fat, lard","YARD, RAT"
"1. leig-, and leik-, better oleig-, oleik-","needy, miserable",READY
1. leik-,to offer for sale,"MALE, OFFEND, TWO, FAR"
1. leit-,"to <b>loathe</b>, detest, abhor; violate","DETECT, OATH, VILLAGE, ANCHOR, TWO"
1. lēk- : lək-,tendril; trap,STRAP
leuǵ-,to break,"TWO, BEAK"
1. leugʰ-,"to <b>lie</b>, <b>belie</b>, prevaricate","LIKE, TWO, BELCH"
2. mā-,"timely, opportune",TIME
"2. mai-, moi-?","to smudge, stain","STRAIN, TWO, SLEDGE"
mā̆k(en)-,poppy,PUPPY
makʰ-o-s,"bold, wild, frisky, unbridled","WIND, COLD, FRIDAY"
"maḱo-, or moḱ-o-","fly, gnat","FRY, GOAT"
mand-,pen/hurdle of plaited rods/twigs,"OR, PLATE"
mē̆gʰ-,"friendly, well-disposed",FRIEND
meiǵʰ-,"to <b>micturate</b>, urinate","TWO, URINE"
mei-gʷ-,to (ex)change,"TWO, EXCHANGE"
1. meit(ʰ)-,place to stay,"STAR, TWO, PLATE"
2. mei-t(ʰ)-,"to <b>commute</b>, (ex)change","TWO, EXCHANGE, COMPUTER"
mek-,(onomatopoeic: to bleat),"BEAT, TWO"
membʰ-,to reproach,"APPROACH, TWO"
mendʰ-,to direct attention to; vivacious,"DETECT, ATTENTIVE, TWO"
2. mer-,"to flicker, shimmer","SUMMER, TWO"
"2. merk-, mork-","vexed, sullen","WEED, BULLET"
?*mi̯ek̑s-{1},to settle (at/on/in),"NETTLE, TWO"
"mormor-, murmur-",to <b>murmur</b> (dully),"TWO, DULL, MURDER"
mormo(ro)-,"fear, dread, horror","WEAR, TREAD, BORROW"
moro-,"<b>murrey</b>, <b>mulberry</b>, blackberry",TURKEY
mut-o-s,"trimmed, stunted, circumcised, <b>mutilated</b>",SLANTED
"n̥dʰos, n̥dʰeri",<b>under</b>,UDDER
