,root,searchables,liv: cross-reference,additional searchables based off of LIV and wiktionary,wiktionary link
1719,"(s)kand-, (s)kend-",kand skand kend skend,,,
1720,"(s)k(ʰ)ed-, (s)k(ʰ)e-n-d-",ked kʰed sked skʰed ke ken kend kʰe kʰen kʰend ske sken skend skʰe skʰen skʰend,*(s)kedh₂-,(s)kedh₂-,
1721,sḱed-,sḱed,?*sk̑ed-{1},sk̑ed-,
1722,skē̆i-,skē̆i,"*sk̑ʰeh₂(i̯)-{1}, *sk̑ʰei̯d-{1}","sk̑ʰeh₂(i̯)-, sk̑ʰei̯d-",
1723,"skē̆i-bʰ-, nasalized ski-m-bʰ-",skē̆i skē̆ibʰ ski skim skimbʰ,,,
1724,"(s)kek-, skeg-",kek skek skeg,*skek-{1},skek-,
1725,1. (s)kel-,kel skel,"?2.*(s)kel-{1}, *skelH-{1}","(s)kel-, skelH-",
1726,2. (s)kel-,kel skel,?1.*(s)kel-{1},(s)kel-,
1727,3. (s)kel-,kel skel,*(s)kelh₁-{1},(s)kelh₁-,
1728,"4. (s)kel-, extended klā-, klō-",kel skel klā klō,,,
1729,"5. (s)kʷel-, (s)kel-",kʷel skʷel kel skel,,,
1730,(s)ḱel-,ḱel sḱel,,,
1731,skʰel-,skʰel,,,
1732,(s)ḱem-,ḱem sḱem,,,
1733,(s)ken-(d-),ken ken ken kend kend sken sken sken skend skend,,,
1734,skendʰ-,skendʰ,,,
1735,(s)keng-,keng skeng,*(s)keng/g̑-{1},(s)keng(')-,
1736,1. (s)kep-,kep skep,?2.*(s)kep-{1},(s)kep-,
1737,"2. (s)kē̆p-, (s)kō̆p-, and (s)kā̆p-, (s)kē̆b(ʰ)-, skob(ʰ)-, and skā̆b(ʰ)-",kē̆p skē̆p kō̆p skō̆p kā̆p skā̆p kē̆b kē̆bʰ skē̆b skē̆bʰ skob skobʰ skā̆b skā̆bʰ,"1.*(s)kep-{1}, *skabʰ-{1}","(s)kep-, skabʰ-",
1738,1. (s)ker-,ker sker,,,
1739,"2. (s)ker-, skerə- : skrē-",ker sker skerə : skrē,"1.*(s)k/k̑er-, 3.*kerH-{1}","(s)k(')er-, kerH-",
1740,3. (s)ker-,ker sker,"?*(s)k(ʷ)rei̯-{1}, ?*(s)krengʷ-, ?*k(ʷ)rei̯p-{1}, ?*skrei̯t-{0}","(s)k(ʷ)rei̯-, (s)krengʷ-, k(ʷ)rei̯p-, skrei̯t-",
1741,"4. (s)ker-, (s)kerə-, (s)krē-",ker sker kerə skerə krē skrē,"*(s)kerH-{1}, 2.*(s)ker-{1}, *(s)kert-{1}, ?*skerdʰ-{1}, *(s)kreb-{1}, *(s)kerbʰ-{1}, *(s)kerp-, *kreh₁(i̯)-{1}, 2.*kers-{1}, ?*sk/k̑rei̯bʰ-{1}","(s)kerH-, (s)ker-, (s)kert-, skerdʰ-, (s)kreb-, (s)kerbʰ-, (s)kerp-, kreh₁(i̯)-, kers-, sk(')rei̯bʰ-",
1742,5. (s)ker-,ker sker,,,
1743,(s)kʷer-,kʷer skʷer,,,
1744,sḱer-(d-),sḱer sḱer sḱer sḱerd sḱerd,*k̑er(H)-{1},k̑er(H)-,
1745,"(s)kerb(ʰ)-, (s)kreb(ʰ)-, nasalized (s)kremb-",kerb kerbʰ skerb skerbʰ kreb krebʰ skreb skrebʰ kremb skremb,*(s)kerb-{1},(s)kerb-,
1746,"(s)ker-dʰ-, (s)k<sub>o</sub>r-dʰ-",ker kerdʰ sker skerdʰ kor kordʰ skor skordʰ,,,
1747,(s)kert-s-,kert kerts skert skerts,,,
1748,skēt- : skət-,skēt : skət,?*skeHt-{1},skeHt-,
1749,"skētʰ-, skətʰ-",skētʰ skətʰ,*sk/k̑eh₁tʰ-{1},sk(')eh₁tʰ-,
1750,1. (s)keu-,keu skeu,,,
1751,"2. (s)keu-, (s)keu̯ə : (s)kū-",keu skeu keu̯ə skeu̯ə : kū skū,*keu̯dʰ-{1},keu̯dʰ-,
1752,"3. skē̆u-, ksē̆u-",skē̆u ksē̆u,,,
1753,4. (s)keu-,keu skeu,,,
1754,5. skē̆u-,skē̆u,,,
1755,6. skēu(-t)-,skēu skēu skēut,"*skeu̯h₂-{1}, ?*skeu̯t-{1}","skeu̯h₂-, skeu̯t-",
1756,sḱē̆u-,sḱē̆u,?*k̑eu̯H-{1},k̑eu̯H-,
1757,"skeub-, skeubʰ-, skeug-",skeub skeubʰ skeug,?*skeu̯bʰ-{1},skeu̯bʰ-,
1758,1. skeud-,skeud,,,
1759,2. (s)keud-,keud skeud,*(s)keu̯d-,(s)keu̯d-,
1760,"(s)keup-, skeub(ʰ)-",keup skeup skeub skeubʰ,,,
1761,"(s)keut-, (s)keudʰ-",keut skeut keudʰ skeudʰ,,,
1762,"sḱlēk-, sḱlək-",sḱlēk sḱlək,,,
1763,skordʰo-,skordʰo,,,
1764,skot-,skot,,,
1765,(s)kū̆t-,kū̆t skū̆t,,,
1766,(s)kʷalo-s,kʷalo kʷalos skʷalo skʷalos,,,
1767,sku̯erb(ʰ)-,sku̯erb sku̯erbʰ,,,
1768,"sk(ʰ)u̯oi̯-, sk(ʰ)u̯i(i̯)-",sku̯oi̯ skʰu̯oi̯ sku̯i sku̯ii̯ skʰu̯i skʰu̯ii̯,,,
1769,(s)lā̆gʷ-,lā̆gʷ slā̆gʷ,*sleh₂gʷ-{1},sleh₂gʷ-,
1770,slak-,slak,?*slak-{1},slak-,
1771,"(s)leb-, (s)lob-, (s)lep-, (s)lop-",leb sleb lob slob lep slep lop slop,,,
1772,"(s)lēg- : (s)ləg-, and (s)leg-",lēg slēg : ləg sləg leg sleg,"*sleh₁g/g̑-{1}, *sleg/g̑-{1}","sleh₁g(')-, sleg(')-",
1773,slēgʷ-,slēgʷ,,,
1774,(s)leib-,leib sleib,,,
1775,(s)leidʰ-,leidʰ sleidʰ,*h₃slei̯dʰ-{1},h₃slei̯dʰ-,
1776,(s)leig-,leig sleig,,,
1777,"slenk-, sleng-",slenk sleng,*slenkʷ-{1},slenkʷ-,
1778,sler-,sler,,,
1779,(s)leu-,leu sleu,,,
1780,sleub(ʰ)-,sleub sleubʰ,*sleu̯bʰ-{1},sleu̯bʰ-,
1781,"(s)leug-, (s)leuk-",leug sleug leuk sleuk,"*(s)leu̯g-{1}, *sleu̯k-{1}","(s)leu̯g-, sleu̯k-",
1782,"(s)leuǵ-, (s)leuḱ-",leuǵ sleuǵ leuḱ sleuḱ,,,
1783,"(s)leup-, (s)leub(ʰ)-",leup sleup leub leubʰ sleub sleubʰ,,,
1784,"(s)lī- : sləi-, or slōi-, slī-u̯o-",lī slī : sləi or slōi slī slīu̯o,,,
1785,"slougo-, slougā- (fem.)",slougo slougā,,,
