,root,searchables,liv: cross-reference,additional searchables based off of LIV and wiktionary,wiktionary link
2141,"1. u̯en-, u̯enə-",u̯en u̯enə,"*u̯en-, *u̯enH-{1}","u̯en-, u̯enH-",
2142,2. u̯en-,u̯en,,,
2143,1. u̯endʰ-,u̯endʰ,*u̯endʰ-{1},u̯endʰ-,
2144,2. u̯endʰ-,u̯endʰ,,,
2145,3. u̯endʰ-,u̯endʰ,,,
2146,u̯e-n-g-,u̯e u̯en u̯eng,?*u̯eng-,u̯eng-,
2147,u̯e-n-gʰ-,u̯e u̯en u̯engʰ,,,
2148,u̯e-n-k-,u̯e u̯en u̯enk,,,
2149,1. *u̯ep- : u̯ō̆p- : up-,*u̯ep : u̯ō̆p : up,,,
2150,2. u̯ep-,u̯ep,?*u̯ep-{1},u̯ep-,
2151,u̯ēp- : u̯əp-,u̯ēp : u̯əp,,,
2152,"1. u̯er-, also su̯er-",u̯er su̯er,"2.*u̯ers-{1}, *h₂u̯er-, *Hu̯er-{1}","u̯ers-, h₂u̯er-, Hu̯er-",
2153,2. u̯er-,u̯er,,,
2154,3. u̯er-,u̯er,,,
2155,"3a. u̯er-, u̯r̥mi-s, u̯r̥mo-s",3a. u̯er u̯r̥mi u̯r̥mis u̯r̥mo u̯r̥mos,,,
2156,"3b. u̯er-, u̯er-b-, and u̯er-bʰ-",3b. u̯er u̯er u̯erb u̯er u̯erbʰ,"*u̯remb-, *u̯ergʷ-{1}","u̯remb-, u̯ergʷ-",
2157,"3c. u̯er-, u̯(e)r-ed-",3c. u̯er u̯r u̯red u̯er u̯ered,?*redʰ-{1},redʰ-{1},
2158,"3d. u̯er-, u̯er-g-",3d. u̯er u̯er u̯erg,"*h₂u̯erg-{1}, *u̯reng-{1}","h₂u̯erg-{1}, u̯reng-",
2159,"3e. u̯er-, u̯er-ǵʰ-",3e. u̯er u̯er u̯erǵʰ,"*u̯erg̑ʰ-, ?*u̯rengʰ-{1}","u̯erg̑ʰ-, u̯rengʰ-",
2160,"3f. u̯er-, u̯er-k-",3f. u̯er u̯er u̯erk,?*renk-{1},renk-,
2161,"3g. u̯er-, u̯er-p-, u̯r-ep-",3g. u̯er u̯er u̯erp u̯r u̯rep,"*u̯erp-, ?*u̯rep-{1}","u̯erp-, u̯rep-",
2162,"3ʰ. u̯er-, u̯er-t-",3ʰ. u̯er u̯er u̯ert,*u̯ert-,u̯ert-,
2163,"3i. u̯er-, u̯r-ei-",3i. u̯er u̯r u̯rei,"*u̯rei̯k̑-, ?*u̯rei̯t-{1}","u̯rei̯k̑-, u̯rei̯t-",
2164,4. u̯er-,u̯er,"*u̯reh₁-{1}, ?*reh₁t-{1}","u̯reh₁-, reh₁t-",
2165,5. u̯er-,u̯er,"*Hu̯er-{1}, 1.*u̯er-{1}","Hu̯er-, u̯er-",
2166,6. u̯er-,u̯er,"*u̯erh₁-, *h₂u̯ert-{1}","u̯erh₁-, h₂u̯ert-",
2167,7. u̯er-,u̯er,"?*u̯red-{1}, 3.*u̯erg̑-{1}, ?*u̯Resk(ʷ)-{1}, ?*u̯eRg̑ʰ-{1}","u̯red-, u̯erg̑-, u̯Lesk(ʷ)-, u̯eLg̑ʰ-",
2168,8. u̯er-,u̯er,3.*u̯er-{1},u̯er-,
2169,9. u̯er- : u̯<sub>e</sub>ru-s,u̯er : u̯eru u̯erus,,,
2170,10. u̯er-,u̯er,,,
2171,"11. u̯er-, u̯erə-",u̯er u̯erə,,,
2172,12. u̯er-,u̯er,*u̯erH-{1},u̯erH-,
2173,13. u̯er-,u̯er,,,
2174,"u̯(e)rād-, u̯<sub>e</sub>rəd-, u̯rəd-",u̯rād u̯erād u̯erəd u̯rəd,,,
2175,"u̯erdʰ-, u̯redʰ-",u̯erdʰ u̯redʰ,"?*redʰ-{1}, ?*Hu̯eRdʰ-{1}","redʰ-, Hu̯eLdʰ-",
2176,"1. u̯erǵ-, u̯reǵ-",u̯erǵ u̯reǵ,1.*u̯erg̑-{1},u̯erg̑-,
2177,"2. u̯erǵ-, u̯reǵ-",u̯erǵ u̯reǵ,2.*u̯erg̑-{1},u̯erg̑-,
2178,"3. u̯erǵ-, u̯orǵ-",u̯erǵ u̯orǵ,,,
2179,"u̯er-g-, u̯er-ǵʰ-, u̯er-k-",u̯er u̯erg u̯er u̯erǵʰ u̯er u̯erk,,,
2180,u̯er-(<sub>e</sub>)nā,u̯er u̯ernā u̯er u̯erenā,,,
2181,u̯ers-,u̯ers,1.*u̯ers-,u̯ers-,
2182,u̯<sub>e</sub>ren-,u̯eren,,,
2183,1. u̯es-,u̯es,,,
2184,2. u̯es-,u̯es,3.*u̯es-{1},u̯es-,
2185,3. u̯es-,u̯es,,,
2186,4. u̯es-,u̯es,,,
2187,5. u̯es-,u̯es,1.*u̯es-,u̯es-,
2188,6. u̯ē̆s-,u̯ē̆s,,,
2189,7. u̯es-,u̯es,,,
2190,8. u̯es-,u̯es,2.*u̯es-{1},u̯es-,
2191,u̯es-no-,u̯es u̯esno,,,
2192,9. u̯es-,u̯es,,,
2193,"u̯esperos, u̯ekeros",u̯esperos u̯ekeros,,,
2194,u̯es-r̥,u̯es u̯esr̥,,,
2195,u̯ē̆su-,u̯ē̆su,,,
2196,u̯et-,u̯et,,,
2197,1. u̯ī̆-,u̯ī̆,,,
2198,"2. u̯ī̆-, u̯oi-",u̯ī̆ u̯oi,,,
2199,u̯idʰu-,u̯idʰu,,,
2200,u̯ī-ḱm̥t-ī,u̯ī u̯īḱm̥t u̯īḱm̥tī,,,
2201,u̯ī̆ks-,u̯ī̆ks,,,
2202,"u̯inǵ-, and u̯eiǵ-, u̯iǵ-?",u̯inǵ u̯eiǵ u̯iǵ u̯iǵ?,,,
2203,u̯ī̆ro-s,u̯ī̆ro u̯ī̆ros,,,
2204,"u̯i̯etʰ-, u̯itʰ-",u̯i̯etʰ u̯itʰ,?*u̯i̯eth₂-{1},u̯i̯eth₂-,
2205,"u̯lek-, u̯l̥k-",u̯lek u̯l̥k,,,
2206,u̯l̥kʷos,u̯l̥kʷos,,,
2207,"u̯l̥p-, lup-",u̯l̥p lup,,,
2208,u̯obʰsā,u̯obʰsā,,,
2209,"u̯ogʷʰni-s, u̯ogʷʰnes-",u̯ogʷʰni u̯ogʷʰnis u̯ogʷʰnes,,,
2210,u̯okso-,u̯okso,,,
2211,u̯ōro-,u̯ōro,,,
2212,u̯ortoko-,u̯ortoko,,,
2213,1. u̯rā̆ǵʰ- : u̯rəǵʰ-,u̯rā̆ǵʰ : u̯rəǵʰ,,,
2214,2. u̯rāǵʰ- : u̯rəǵʰ-,u̯rāǵʰ : u̯rəǵʰ,,,
2215,"u̯reg-, and u̯erg-?",u̯reg u̯erg u̯erg?,*u̯reg-{1},u̯reg-,
2216,"u̯rēǵ-, u̯rōǵ-, u̯rəǵ-",u̯rēǵ u̯rōǵ u̯rəǵ,*u̯reh₁g̑-,u̯reh₁g̑-,
2217,u̯rek-,u̯rek,,,
2218,"u̯reik-, u̯ereik-",u̯reik u̯ereik,,,
2219,u̯ren-,u̯ren,,,
2220,"u̯retʰ- : u̯rotʰ-, or u̯ratʰ-",u̯retʰ : u̯rotʰ or u̯ratʰ,,,
2221,u̯rugʰi̯o-,u̯rugʰi̯o,,,
