,texas_root,web_root
1861,sraku̯-to-,"srakʷ-to-,
-ti-, srakʷ-to-, -ti-"
1862,"srebh-, sr̥bh-, and serbh-","srebh-,
sr̥bh- und serbh-, srebh-, sr̥bh- und serbh-"
1863,"sr-edh-, sr-et-","sr-edh-,
sr-et-, sr-edh-, sr-et-"
1864,(s)reigh-,"(s)reigh-, (s)reigh-"
1865,srenk-,"srenk-, srenk-"
1866,srēno-,"srēno-,
-ā, srēno-, -ā"
1867,sresk-,"sresk-, sresk-"
1868,sreu-,"sreu-, sreu-"
1869,sreup-,"sreup-, sreup-"
1870,"srīg-, srīgos-","srīg-,
srīgos-., srīg-, srīgos-"
1871,srō̆mo-,"srō̆mo-, srō̆mo-"
1872,stā- : stə-,"stā-
: stə-, stā- : stə-"
1873,stag-,"stag-, stag-"
1874,(s)tāi-,"(s)tāi-, (s)tāi-"
1875,"stāi-, stī̆-, sti̯-ā-","stāi-,
stī̆-, sti̯-ā-, stāi-, stī̆-, sti̯-ā-"
1876,"stāk-, stek-","stāk-,
stek-, stāk-, stek-"
1877,"steb(h)-, and stēb(h)- : stəbh-, nasalized stemb(h)-, step-, also stēp-?, nasalized stemp-, nominal stəbho-s, stemb(h)ro-s, stomb(h)o-s","steb(h)-
und stēb(h)- : stəbh-, nasaliert stemb(h)-; step- (auch stēp-?), nasaliert
stemp-; nominal stəbho-s, stemb(h)ro-s, stomb(h)o-s, steb(h)- und stēb(h)- : stəbh-, nasaliert stemb(h)-; step- (auch stēp-?), nasaliert stemp-; nominal stəbho-s, stemb(h)ro-s, stomb(h)o-s"
1878,1. (s)teg-,"(s)teg-1, (s)teg-1"
1879,2. (s)teg-,"(s)teg-2, (s)teg-2"
1880,"stegh-, nasalized stengh-","stegh-,
nasal. stengh-, stegh-, nasal. stengh-"
1881,(s)tei-,"(s)tei-, (s)tei-"
1882,"stē̆ib(h)-, stī̆b(h)-, stē̆ip-, stī̆p-","stē̆ib(h)-,
stī̆b(h)-, stē̆ip-, stī̆p-, stē̆ib(h)-, stī̆b(h)-, stē̆ip-, stī̆p-"
1883,(s)teig-,"(s)teig-, (s)teig-"
1884,steigh-,"steigh-, steigh-"
1885,(s)teigu̯-,"(s)teigʷ-, (s)teigʷ-"
1886,(s)teigu̯h-,"(s)teigʷh-, (s)teigʷh-"
1887,1. (s)tel-,"(s)tel-1, (s)tel-1"
1888,"2. stel-, stelə-","stel-2,
stelə-, stel-2, stelə-"
1889,3. stel-,"stel-3, stel-3"
1890,stem-,"stem-, stem-"
1891,1. (s)ten-,"(s)ten-1, (s)ten-1"
1892,2. sten-,"sten-2, sten-2"
1893,"1. (s)ter-, (s)terə- : (s)trē-","(s)ter-1,
(s)terə- : (s)trē-, (s)ter-1, (s)terə- : (s)trē-"
1894,2. stē̆r-,"stē̆r-2, stē̆r-2"
1895,3. ster-,"ster-3, ster-3"
1896,"4. ster-, also sterə- : strē-, strei-, streu-","ster-4, ster-4"
