,texas_root,web_root
0,ā,"ā, ā"
1,ab-,"ab-, ab-"
2,"ā̆bel-, ā̆bō̆l-, abel-","ā̆bel-,
ā̆bōl-, abel-, ā̆bel-, ā̆bōl-, ab↓↓e↓↓l-"
3,abh-,"abh-, abh-"
4,abhro-,"abhro-, abhro-"
5,abō(n),"abō(n), abō(n)"
6,1. ad-,"ad-1, ad-1"
7,2. ad-,"ad-2, ad-2"
8,"ades-, ados-","ades-,
ados-, ades-, ados-"
9,"ad(u)-, ad-ro-","ad(u)-,
ad-ro-, ad(u)-, ad-ro-"
10,ag̑-,"aĝ-, aĝ-"
11,ā̆g̑-,"ā̆ĝ-, ā̆ĝ-"
12,ag̑h-,"aĝh-, aĝh-"
13,"ā̆g̑her-, ā̆g̑hen-, ā̆g̑hes-, or ō̆g̑her etc.","ā̆ĝher-,
ā̆ĝhen-, ā̆ĝhes- (oder ōĝher usw.), ā̆ĝher-, ā̆ĝhen-, ā̆ĝhes- (oder ōĝher usw.)"
14,agh-,"agh-, agh-"
15,agh-(lo-),"agh-(lo-), agh-(lo-)"
16,aghl(u)-,"aghl(u)-, aghl(u)-"
17,agos-,"agos-, agos-"
18,"agro-, egro-?","agro-
(egro-?), agro- (egro-?)"
19,ag̑ro-s,"aĝro-s, aĝro-s"
20,"agu̯(e)sī, aksī","agu̯(e)sī,
aksī, agu̯(e)sī, aksī"
21,agu̯h-no-s,"agʷh-no-s, agʷh-no-s"
22,1. ai,"ai
1, ai 1"
23,2. ai-,"ai-2, ai-2"
24,3. ai-,"ai-3, ai-3"
25,"ai-ti-, ai-to-, oi-to-","ai-ti-,
ai-to- : oi-to-., ai-ti-, ai-to- : oi-to-"
26,4. ā̆i-,"ā̆i-4, ā̆i-4"
27,5. ai- : oi-,"ai-5
: oi-, ai-5 : oi-"
28,aid-,"aid-, aid-"
29,"ai-dh-, i-dh-, nasalized i-n-dh-","ai-dh-,
i-dh-, nas. i-n-dh-, ai-dh-, i-dh-, nas. i-n-dh-"
30,"ā̆ier-, ā̆ien-","ā̆ier-,
ā̆ien-, ā̆ier-, ā̆ien-"
31,aig̑-,"aiĝ-, aiĝ-"
32,"1. aig-, nasalized ing-","aig-1,
nas. ing-, aig-1, nas. ing-"
33,2. aig-,"aig-2, aig-2"
34,3. aig-,"aig-3, aig-3"
35,aigu̯h-,"aigʷh-, aigʷh-"
36,ā(i)g̑h- : īg̑h-,"ā(i)ĝh-
: īĝh-, ā(i)ĝh- : īĝh-"
37,ā̆ik̑- : ī̆k̑-,"ā̆ik̂-
: ī̆k̂-, ā̆ik̂- : ī̆k̂-"
38,aik-,"aik-, aik-"
39,ai̯os-,"ai̯os-, ai̯os-"
40,ai-rā,"ai-rā, ai-rā"
41,1. ais-,"ais-1, ais-1"
42,2. ais-,"ais-2, ais-2"
43,aisk-,"aisk-, aisk-"
44,ai-tro-,"ai-tro-, ai-tro-"
45,"aiu̯-, ai̯u-","aiu̯-,
ai̯u-, aiu̯-, ai̯u-"
46,"1. ak̑-, ak̑ō-","ak̂-1,
ak̂ō-, ak̂-1, ak̂ō-"
47,"2. ak̑-, ok̑-","ak̂-,
ok̂-, ak̂-, ok̂-"
48,akkā,"akkā, akkā"
49,ak̑ru,"ak̂ru, ak̂ru"
50,aku̯-,"akʷ-, akʷ-"
51,"aku̯ā-, more accurately əku̯ā, ēku̯-","akʷā-
(richtiger əkʷā): ēkʷ-, akʷā- (richtiger əkʷā): ēkʷ-"
52,"1. al-, ol-","al-1,
ol-, al-1, ol-"
53,2. al-,"al-2, al-2"
54,3. ā̆l-,"ā̆l-3, ā̆l-3"
55,4. al-,"al-4, al-4"
56,5. al-,"al-5, al-5"
57,"6. al-, alōu- : aləu-","al-6,
alōu- : aləu-, al-6, alōu- : aləu-"
58,alā,"alā, alā"
59,albhi-,"albhi-, albhi-"
60,albho-,"albho-, albho-"
61,aldh-,"aldh-, aldh-"
62,aleq-,"aleq-, aleq-"
63,algh-,"algh-, algh-"
64,algu̯h-,"algʷh-, algʷh-"
65,alp-,"alp-, alp-"
66,"ālu-, ālo-","ālu-,
ālo-, ālu-, ālo-"
67,"alu-, alu-d-, alu-t-","alu-
(-d-, -t-), alu- (-d-, -t-)"
68,"ambhi, m̥bhi","ambhi,
m̥bhi, ambhi, m̥bhi"
69,"1. am-, mē-","am-1,
mē-, am-1, mē-"
70,"2. am-, mē-","am-2,
mē-, am-2, mē-"
71,"āmer-, āmōr, āmr̥","āmer-
(āmōr, āmr̥), āmer- (āmōr, āmr̥)"
72,"ames-, or omes-","ames-
oder omes-, ames- oder omes-"
73,amə-,"amə-, amə-"
74,"am(m)a, amī̆","am(m)a,
amī̆, am(m)a, amī̆"
75,1. an-,"an-1, an-1"
76,2. an-,"an-2, an-2"
77,3. an(ə)-,"an(ə)-3, an(ə)-3"
78,"4. an-, anu, anō, nō","an4,
anu, anō, nō, an4, anu, anō, nō"
79,"andh-, anedh-","andh-,
anedh-, andh-, anedh-"
80,"andher-, ṇdher-","andher-,
n̥dher-, andher-, n̥dher-"
81,andho-,"andho-, andho-"
82,anət-,"anət-, anət-"
83,"anətā, enətā","anətā
(enətā), anətā (↓↓e↓↓nətā)"
84,ang̑h-,"anĝh-, anĝh-"
85,ang̑hen-,"anĝhen-, anĝhen-"
86,angu̯(h)i-,"angʷ(h)i-, angʷ(h)i-"
87,1. ank-,"ank-1, ank-1"
88,"2. ank-, ang-","ank-2,
ang-, ank-2, ang-"
89,āno-,"āno-, āno-"
90,ans-,"ans-, ans-"
91,"ansā, ansi-","ansā,
ansi-, ansā, ansi-"
92,"ansu-, ṇsu-","ansu-,
n̥su-, ansu-, n̥su-"
93,ant-s,"ant-s, ant-s"
94,antro-m,"antro-m, antro-m"
95,"1. ap-, more accurately əp- : ēp-","ap-1
(richtiger əp-) : ēp-, ap-1 (richtiger əp-) : ēp-"
96,2. ā̆p-,"ā̆p-2, ā̆p-2"
97,"3. ap-, āp-","ap-3,
āp-, ap-3, āp-"
98,appa,"appa, appa"
99,apelo-,"apelo-, apelo-"
100,āpero-,"āpero-, āpero-"
101,"apo-, pō̆, ap-u, pu","apo- (pō̆,
ap-u, pu), apo-(pō̆, ap-u,pu)"
102,apsā,"apsā, apsā"
103,"1. ar-, thematic (a)re-, heavy-base arə-, rē-, and i-base (a)rī̆-, rēi-","ar-1*,
themat. (a)re-, schwere Basis arə-, rē- und i-Basis (a)rī̆-, rēi-, ar-1^^*^^, themat. (a)re-, schwere Basis arə-, rē- und i-Basis (a)rī̆-, rēi-"
104,"2. ar-, or er-","ar-2
oder er-, ar-2 oder er-"
105,3. ar-,"ar-3, ar-3"
106,"4. ar, er, or?, r̥","ar
4 (er, or?), r̥., ar 4 (er, or?), r̥"
107,5. ar-,"ar-5, ar-5"
108,ar(ə)-,"ar(ə)-, ar(ə)-"
109,ardh-,"ardh-, ardh-"
110,"ardi-, r̥di-","ardi-,
r̥di-, ardi-, r̥di-"
111,areg-,"areg-, areg-"
112,"ar(e)-g̑-, arg̑-?, r̥g̑i-","ar(e)-ĝ- (arĝ-?),
r̥ĝi-, ar(e)-ĝ-(arĝ-?), r̥ĝi-"
113,areq-,"areq-, areq-"
114,arenko-,"arenko-, arenko-"
115,ario-?,"ario-?, ario-?"
116,arqu-,"arqu-, arqu-"
117,"arōd-, arəd-","arōd-,
arəd-, arōd-, arəd-"
118,aro-m,"aro-m, aro-m"
119,aru̯ā,"aru̯ā, aru̯ā"
120,"ā̆s-, based on it azd-, azg(h)-","ā̆s-,
davon azd-, azg(h)-, ā̆s-, davon azd-, azg(h)-"
121,ast(h)-,"ast(h)-, ast(h)-"
122,at-,"at-, at-"
123,āt(e)r-,"āt(e)r-, āt(e)r-"
124,"*ati-, ateli-","*ati-,
ateli-, -o-, *ati-, ateli-, -o-"
125,"ati, ato-","ati,
ato-, ati, ato-"
126,"ā̆tos, atta","ā̆tos,
atta, ā̆tos, atta"
127,1. au-,"au1, au1"
128,"2. au-, au̯-es-, au-s-","au-2,
au̯-es-, au-s-, au-2, au̯-es-, au-s-"
129,"3. au-, au̯e, u̯ē̆-","au-3
(au̯e); u̯ē̆-, au-3 (au̯e); u̯ē̆-"
130,"4. au-, u- : u̯ē̆-, u̯o-","au-4,
u- (: u̯ē̆-, u̯o-), au-4, u- (: u̯ē̆-, u̯o-)"
131,"5. au̯-, au̯ē-","au̯-5,
au̯ē-, au̯-5, au̯ē-"
132,"6. au̯-, au̯ed-","au̯-6,
au̯ed-., au̯-6, au̯ed-"
133,"7. au̯-, au̯ē-, au̯ēi-","au̯-7,
au̯ē-, au̯ēi-, au̯-7, au̯ē-, au̯ēi-"
134,"8. au̯-, au̯ēi-","au̯-8,
au̯ēi-, au̯-8, au̯ēi-"
135,"9. au̯(e)-, au̯ed-, au̯er-","au̯(e)-9,
au̯ed-, au̯er-, au̯(e)-9, au̯ed-, au̯er-"
136,"10. au̯(e)-, au̯ē(i)-, u̯ē-","au̯(e)-10,
au̯ē(o)-, u̯ē-, au̯(e)-10, au̯ē(o)-, u̯ē-"
137,"11. au̯ē-, (u̯e-d(h)-?)","au̯ē-11
(u̯e-d(h)-?), au̯ē-11 (u̯e-d(h)-?)"
138,"au̯eg-, u̯ōg-, aug-, ug-","au̯eg-,
u̯ōg-, aug-, ug-, au̯eg-, u̯ōg-, aug-, ug-"
139,"au̯ei-, əu̯ei-?","au̯ei-
(əu̯ei-?), au̯ei- (əu̯ei-?)"
140,au̯es-,"au̯es-, au̯es-"
141,aug-,"aug-, aug-"
142,"augh-, ugh-","augh-,
ugh-, augh-, ugh-"
143,au̯ig̑-,"au̯iĝ-, au̯iĝ-"
144,"auqu̯(h)- : uqu̯(h)-, probably also u̯equ̯(h)-","auqʷ(h)-
: uqʷ(h)- und daneben wohl als andere Hochstufe u̯eqʷ(h)-, auqʷ(h)- : uqʷ(h)- und daneben wohl als andere Hochstufe u̯eqʷ(h)-"
145,au-lo-s : ēu-l-,"au-lo-s
(: ēu-l-), au-lo-s (: ēu-l-)"
146,au̯o-s,"au̯o-s, au̯o-s"
147,aus-,"aus-, aus-"
148,"baˣb-, bhaˣbh-, paˣp-","baxb-,
bhaxbh-, paxp-, ba^^x^^b-, bha^^x^^bh-, pa^^x^^p-"
149,baba-,"baba-, baba-"
150,badi̯os,"badi̯os, badi̯os"
151,"baitā, or paitā?","baitā
oder paitā?, baitā oder paitā?"
152,bak-,"bak-, bak-"
153,"bal-, balbal-","bal-,
balbal-, bal-, balbal-"
154,bal-bal-,"bal-bal-, bal-bal-"
155,baˣmb-,"baxmb-, ba^^x^^mb-"
156,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-","baxmb-,
bhaxmbh-, paxmp-, phaxmph-, ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-"
157,band-,"band-, band-"
158,bar-bar-,"bar-bar-, bar-bar-"
159,bata-,"bata-, bata-"
160,bau,"bau, bau"
161,bdel-,"bdel-, bdel-"
162,"bē, bā","bē,
bā, bē, bā"
163,bed-,"bed-, bed-"
164,1. bel-,"bel-1, bel-1"
165,2. bel-,"bel-2, bel-2"
166,"bend-, bṇd-no-","bend-,
bn̥d-no-, bend-, bn̥d-no-"
167,"1. b(e)u-, bh(e)u-","b(e)u-1, bh(e)u-, b(e)u-1,bh(e)u-"
168,"2. b(e)u-, bh(e)ū̆-","b(e)u-2,
bh(e)ū̆-, b(e)u-2, bh(e)ū̆-"
169,bis-(t)li-,"bis-(t)li-, bis-(t)li-"
170,blat-,"blat-, blat-"
171,blē-,"blē-, blē-"
172,"blou-, bhlou-?, plou-","blou-
(bhlou-?), plou-, blou- (bhlou-?), plou-"
173,bol-,"bol-, bol-"
174,"brangh-, brongh-?","brangh-,
brongh-?, brangh-, brongh-?"
175,breuq-,"breuq-, breuq-"
176,bronk-,"bronk-, bronk-"
177,bu-,"bu-, bu-"
178,"1. bhā-, bhō-, bhə-","bhā-1,
bhō-, bhə-, bhā-1, bhō-, bhə-"
179,2. bhā-,"bhā-2, bhā-2"
180,bhabhā,"bhabhā, bhabhā"
181,bhā̆d-,"bhā̆d-, bhā̆d-"
182,1. bhag-,"bhag-1, bhag-1"
183,2. bhag-,"bhag-2, bhag-2"
184,bhāgó-s,"bhāgó-s, bhāgó-s"
185,bhā̆gh-,"bhā̆gh-, bhā̆gh-"
186,bhāg̑hú-s,"bhāghú-s, bhāghú-s"
187,bhar- : bhor- : bhr̥-,"bhar-
: bhor- : bhr̥-, bhar- : bhor- : bhr̥-"
188,bharu-,"bharu-,
-u̯o-, bharu-, -u̯o-"
189,"bhares-, bhores-","bhares-
: bhores-, bhares- : bhores-"
190,bhardhā,"bhardhā, bhardhā"
191,"bhareku̯-, or bhereku̯-","bharekʷ-
oder bherekʷ-, bharekʷ- oder bh↓↓e↓↓rekʷ-"
192,bhares-,"bhares-, bhares-"
193,bhasko-,"bhasko-, bhasko-"
194,"bhāso-, or bhēso-","bhāso-
oder bhēso-, bhāso- oder bhēso-"
195,bhāt- : bhət-,"bhāt-
: bhət-., bhāt- : bhət-"
196,1. bhā̆u- : bhū̆-,"bhā̆u-1
: bhū̆-, bhā̆u-1 : bhū̆-"
197,2. bhāu-,"bhāu-2, bhāu-2"
198,"1. b(h)e, and b(h)eg̑h","b(h)e1
und b(h)eĝh., b(h)e1 und b(h)eĝh"
199,"2. bhē̆, bhō̆","bhē̆2,
bhō̆, bhē̆2, bhō̆"
200,"bhē-, bhō-","bhē-
: bhō-, bhē- : bhō-"
201,"bhebhru-, bhebhro-","bhebhru-,
bhebhro-, bhebhru-, bhebhro-"
202,1. bhedh-,"bhedh-1, bhedh-1"
203,2. bhedh-,"bhedh-2, bhedh-2"
204,"bheg-, bheng-","bheg-,
bheng-, bheg-, bheng-"
205,bhēgh- : bhōgh-,"bhēgh-
: bhōgh-, bhēgh- : bhōgh-"
206,bhegu̯-,"bhegʷ-, bhegʷ-"
207,bhei-,"bhei-, bhei-"
208,bheid-,"bheid-, bheid-"
209,1. bheidh-,"bheidh-1, bheidh-1"
210,2. bheidh-,"bheidh-2, bheidh-2"
211,"bhei(ə)-, bhī-","bhei(ə)-,
bhī-., bhei(ə)-, bhī-"
212,bheigu̯-,"bheigʷ-, bheigʷ-"
213,"1. bhel-, Balto-Slavic also bhelə-","bhel-1,
balto-slav. auch bhelə-, bhel-1, balto-slav. auch bhelə-"
214,2. bhel-,"bhel-2, bhel-2"
215,"3. bhel-, bhlē-","bhel-3,
bhlē-, bhel-3, bhlē-"
216,"4. bhel-, and bhlē-, bhlō-, bhlə-","bhel-4
und bhlē-, bhlō-, bhlə-, bhel-4 und bhlē-, bhlō-, bhlə-"
217,"5. bhel-,  chiefly with suffixes: bheləg̑-, bhelə-n-g̑-, bheleg̑-, bhl̥k̑-","bhel-5
, meist mit -ĝ- (-k̂-) Suffix: bheləĝ-, bhelə-n-ĝ-,
bheleĝ-; bhl̥k̂-, bhel-5 , meist mit -ĝ- (-k̂-) Suffix: bh↓↓e↓↓ləĝ-, bh↓↓e↓↓lə-n-ĝ-, bheleĝ-; bhl̥k̂-"
218,6. bhel-,"bhel-6, bhel-6"
219,bh(e)lāg-,"bh(e)lāg-, bh(e)lāg-"
220,bheld-,"bheld-, bheld-"
221,bheleg-,"bheleg-, bheleg-"
222,bheleu-,"bheleu-, bheleu-"
223,bhelg̑h-,"bhelĝh-, bhelĝh-"
224,bhen-,"bhen-, bhen-"
225,bhend-,"bhend-, bhend-"
226,bhendh-,"bhendh-, bhendh-"
227,"bheng̑h-, bhn̥g̑h-, adj. bhn̥g̑hú-s","bhenĝh-,
bhn̥ĝh- (Adj. bhn̥ĝhú-s), bhenĝh-, bhn̥ĝh- (Adj. bhn̥ĝhú-s)"
228,1. bher-,"bher-1, bher-1"
229,2. bher-,"bher-2, bher-2"
230,3. bher-,"bher-3, bher-3"
231,4. bher-,"bher-4, bher-4"
232,5. bher-,"bher-5, bher-5"
233,6. bher-,"bher-6, bher-6"
234,7. bher-,"bher-7, bher-7"
235,"bheredh-, bhṛdho-","bheredh-, bheredh-"
236,bhereg-,"bhereg-, bhereg-"
237,"bherəg̑-, bhrēg̑-","bherəĝ-,
bhrēĝ-, bherəĝ-, bhrēĝ-"
238,"bhereg̑h-, bherg̑hos-","bhereĝh-, bhereĝh-"
239,"bherək̑-, bhrēk̑-","bherək̂-,
bhrēk̂-, bherək̂-, bhrēk̂-"
240,1. bherem-,"bherem-1, bherem-1"
241,2. bherem-,"bherem-2, bherem-2"
242,bheres-,"bheres-, bheres-"
243,bh(e)reu- : bh(e)rū̆-,"bh(e)reu-
: bh(e)rū̆-, bh(e)reu- : bh(e)rū̆-"
244,bherg̑h-,"bherĝh-, bherĝh-"
245,"bherug-, bhrug-, bhorg-","bherug-,
bhrug-, bhorg-, bh↓↓e↓↓rug-, bhrug-, bhorg-"
246,1. bhes-,"bhes-1, bhes-1"
247,2. bhes-,"bhes-2, bhes-2"
248,"bheu-, bheu̯ə-, bhu̯ā-, bhu̯ē- : bhō̆u- : bhū-","bheu-,
bheu̯ə-
(bhu̯ā-,
bhu̯ē-)
: bhō̆u-
: bhū-, bheu-, bheu̯ə- (bhu̯ā-, bhu̯ē-) : bhō̆u- : bhū-"
249,"bheudh-, nasalized bhu-n-dh-","bheudh-,
nasal. bhu-n-dh-, bheudh-, nasal. bhu-n-dh-"
250,1. bheug-,"bheug-1, bheug-1"
251,"2. bheug-, bheugh-","bheug-2,
bheugh-, bheug-2, bheugh-"
252,"3. bheug-, bheugh-","bheug-3,
bheugh-, bheug-3, bheugh-"
253,4. bheug-,"bheug-4, bheug-4"
254,bhidh-,"bhidh-, bhidh-"
255,"bhili-, bhilo-","bhili-,
bhilo-, bhili-, bhilo-"
256,bhlag̑-,"bhlaĝ-, bhlaĝ-"
257,bhlagh-men-,"bhlagh-men-, bhlagh-men-"
258,bhlē-,"bhlē-, bhlē-"
259,"bhlē̆d-, bhl̥d-","bhlē̆d-,
bhl̥d-, bhlē̆d-, bhl̥d-"
260,bhlegu̯-,"bhlegʷ-, bhlegʷ-"
261,1. bhlē̆i- : bhləi- : bhlī-,"bhlē̆i-1
: bhləi- : bhlī-, bhlē̆i-1 : bhləi- : bhlī-"
262,2. bhlei-,"bhlei-2, bhlei-2"
263,"bhlē̆ig̑-, bhlīg̑-","bhlē̆iĝ-,
bhlīĝ-, bhlē̆iĝ-, bhlīĝ-"
264,bhleiq-,"bhleiq-, bhleiq-"
265,bhlendh-,"bhlendh-, bhlendh-"
266,bhles-,"bhles-, bhles-"
267,bhleu-,"bhleu-, bhleu-"
268,1. bhlēu- : bhləu- : bhlū-,"bhlēu-1
: bhləu- : bhlū-, bhlēu-1 : bhləu- : bhlū-"
269,2. bhlēu- : bhləu- : bhlū-,"bhlēu-2
: bhləu- : bhlū-, bhlēu-2 : bhləu- : bhlū-"
270,bhleu-(k-),"bhleu-(k)-,
(-s-), bhleu-(k)-, (-s-)"
271,bhlē-u̯o-s,"bhlē-u̯o-s, bhlē-u̯o-s"
272,bhleus-,"bhleus-, bhleus-"
273,bhləido-s,"bhləido-s, bhləido-s"
274,bhlīg̑- : *bhlēig-,"bhlīĝ-
(: *bhlēig-), bhlīĝ- (: *bhlēig-)"
275,bhlō̆k-,"bhlō̆k-, bhlō̆k-"
276,bhlos-q-,"bhlos-q-;
-g-, bhlos-q-; -g-"
277,bhog-,"bhog-, bhog-"
278,"bhō̆gh-, or bhā̆gh-","bhō̆gh-
oder bhā̆gh-, bhō̆gh- oder bhā̆gh-"
279,"bhōi- : bhəi- : bhī-, bhii̯ə-","bhōi-
: bhəi- : bhī- (bhii̯ə-), bhōi- : bhəi- : bhī- (bhii̯ə-)"
280,bhok-,"bhok-, bhok-"
281,bholo-,"bholo-, bholo-"
282,bhorgu̯o-s,"bhorgʷo-s, bhorgʷo-s"
283,bhoso-s,"bhoso-s, bhoso-s"
284,bhoudhi-,"bhoudhi-, bhoudhi-"
285,bhouku̯os,"bhoukʷos, bhoukʷos"
286,"bhrag-, better bhrə-g-","bhrag-
(besser bhrə-g-), bhrag- (besser bhrə-g-)"
287,bhrā́ter-,"bhrā́ter-, bhrā́ter-"
288,bhred(h?)-,"bhred(h?)-, bhred(h?)-"
289,1. bhreg̑-,"bhreĝ-1, bhreĝ-1"
290,2. bhreg̑-,"bhreĝ-2, bhreĝ-2"
291,"bhrēi-, bhrī̆-","bhrēi-,
bhrī̆-, bhrēi-, bhrī̆-"
292,bhren-,"bhren-, bhren-"
293,bhrendh-,"bhrendh-, bhrendh-"
294,"bhrenk-, bhronk-","bhrenk-,
bhronk-, bhrenk-, bhronk-"
295,bhre(n)k̑-,"bhre(n)k̂-, bhre(n)k̂-"
296,bhren-to-s,"bhren-to-s, bhren-to-s"
297,bhres-,"bhres-, bhres-"
298,"bhreu-, bhreu-d-","bhreu-,
bhreu-d-, bhreu-, bhreu-d-"
299,"1. bhrē̆u-, bhrū̆-","bhrē̆u-1,
bhrū̆-, bhrē̆u-1, bhrū̆-"
300,"2. bhrēu-, bhrū-","bhrēu-2,
bhrū-., bhrēu-2, bhrū-"
301,bhreu-k̑-,"bhreu-k̂-
(-k-), bhreu-k̂- (-k-)"
302,1. bhreu-s-,"bhreu-s-1, bhreu-s-1"
303,2. bhreu-s-,"bhreu-s-2, bhreu-s-2"
304,"3. bhreus-, bhrū̆s-","bhreus-3,
bhrū̆s-, bhreus-3, bhrū̆s-"
305,"bhroisqo-, bhrisqo-","bhroisqo-,
bhrisqo-, bhroisqo-, bhrisqo-"
306,1. bhrū-,"bhrū-1, bhrū-1"
307,"2. bhrū-, bhrēu-","bhrū-2,
bhrēu-., bhrū-2, bhrēu-"
308,bhrūg-,"bhrūg-, bhrūg-"
309,bhrugh-no-,"bhrugh-no-, bhrugh-no-"
310,bhudh-m(e)n,"bhudh-m(e)n, bhudh-m(e)n"
311,"bhū̆g̑o-s, familiar form bhukko-s","bhū̆ĝo-s,
Koseform bhukko-s, bhū̆ĝo-s, Koseform bhukko-s"
312,dā-,"dā-, dā-"
313,"dā : də-, and dāi- : dəi-, dī̆-","dā
: də- und dāi- : dəi- : dī̆-, dā : də- und dāi- : dəi- : dī̆-"
314,"dāiu̯ēr, genitive daiu̯rés","dāiu̯ēr,
Gen. daiu̯rés, dāiu̯ēr, Gen. daiu̯rés"
315,dak̑ru-,"dak̂ru-, dak̂ru-"
316,"dāu-, dəu-, dū̆-","dāu-,
dəu-, dū̆-, dāu-, dəu-, dū̆-"
317,*dəg̑h-mó-,"*dəĝh-mó-, *dəĝh-mó-"
318,"de-, do-","de-,
do-, de-, do-"
319,"dē- : də-, and dēi-, dī-","dē-
: də- und dēi-, dī-, dē- : də- und dēi-, dī-"
320,dēg-,"dēg-, dēg-"
321,"1. dei-, dei̯ə-, dī-, di̯ā-","dei-1,
dei̯ə-, dī-, di̯ā-, dei-1, dei̯ə-, dī-, di̯ā-"
322,"2. dei̯ə-, di̯ā-, di̯ə-, dī-","dei̯ə-2
(di̯ā-, di̯ə-, dī-), dei̯ə-2 (di̯ā-, di̯ə-, dī-)"
323,deig̑h-,"deiĝh-, deiĝh-"
324,deik̑-,"deik̂-, deik̂-"
325,1. dek̑-,"dek̂-1, dek̂-1"
326,"2. dek̑- : dok̑-, dēk̑-","dek̂-2
(: dok̂-, dēk̂-), dek̂-2 (: dok̂-, dēk̂-)"
327,"dek̑m̥, dek̑m̥-t, dek̑u-","dek̂m̥,
dek̂m̥-t, dek̂u-, dek̂m̥, dek̂m̥-t, dek̂u-"
328,1. del-,"del-1, del-1"
329,2. del-,"del-2, del-2"
330,"3. del-, dol-, delə-","del-3
(dol-), delə-., del-3 (dol-), delə-"
331,4. del-,"del-4, del-4"
332,5. del-,"del-5, del-5"
333,"dem-, demə-","dem-,
demə-, dem-, demə-"
334,"demə-, domə-, domə-","(demə-),
domə-, domə-, (demə-), domə-, d↓↓o↓↓mə-"
335,demel-,"demel-, demel-"
336,denk̑-,"denk̂-, denk̂-"
337,1. dens-,"dens-1, dens-1"
338,2. dens-,"dens-2, dens-2"
339,deph-,"deph-, deph-"
340,"1. der- : dōr-, der-, or dōr- : dər-","der-1
(: dōr-, der-) oder dōr- : dər-, der-1 (: dōr-, d↓↓e↓↓r-) oder dōr- : dər-"
341,"2. der-, reduplicated der-der-, dr̥dor-, broken reduplication dor-d-, dr̥-d-","(der-2), redupl.
der-der-, dr̥dor-, gebrochen redupl. dor-d-, dr̥-d-, (der-2), redupl. der-der-, dr̥d↓↓o↓↓r-, gebrochen redupl. dor-d-, dr̥-d-"
342,"3. der-, drā-, dreb-, drem-, dreu-","(der-3),
drā-, dreb-, drem-, dreu-, (der-3), drā-, dreb-, drem-, dreu-"
343,"4. der-, heavy-base derə-, drē-","der-,
schwere Basis derə-, drē-, der-, schwere Basis derə-, drē-"
344,derbh-,"derbh-, derbh-"
345,der(ep)-,"der(ep)-, der(ep)-"
346,"derə-, drā-","derə-,
drā-, derə-, drā-"
347,dergh-,"dergh-, dergh-"
348,derk̑-,"derk̂-, derk̂-"
349,"deru-, dō̆ru-, dr(e)u-, drou-, dreu̯ə- : drū-","deru-, dō̆ru-,
dr(e)u-, drou-; dreu̯ə- : drū-, deru-, dō̆ru-, dr(e)u-, drou-; dreu̯ə-: drū-"
350,"des-, dēs-","des-,
dēs-, des-, dēs-"
351,1. deu-,"deu-1, deu-1"
352,"2. deu-, or dou- : du-","(deu-2
oder dou-) : du-., (deu-2 oder dou-) : du-"
353,"3. deu-, deu̯ə-, du̯ā-, dū-","deu-3, deu̯ə-,
du̯ā-, dū-, deu-3, deu̯ə-, du̯ā-, dū-"
354,deuk-,"deuk-, deuk-"
355,deup- : kteup-?,"deup-
(: kteup-?), deup- (: kteup-?)"
356,dəg̑h-mó-s,"dəĝh-mó-s, dəĝh-mó-s"
357,digh-,"digh-, digh-"
358,"dī̆p-ro-, dī̆p-erā","dī̆p-ro-,
dī̆p-erā, dī̆p-ro-, dī̆p-↓↓e↓↓rā"
359,dl̥kú-,"dl̥kú-
(?), dl̥kú- (?)"
360,"dn̥g̑hū, dn̥g̑hu̯ā","dn̥ĝhū,
dn̥ĝhu̯ā, dn̥ĝhū, dn̥ĝhu̯ā"
361,"dō- : də-, also dō-u- : dəu- : du-","dō-
: də-, auch dō-u- : dəu- : du-, dō- : də-, auch dō-u- : dəu- : du-"
362,dous-,"dous-, dous-"
363,"drē- : drə-, extended dr-ē̆m-","drē-
: drə-, erweitert dr-ē̆m-, drē- : drə-, erweitert dr-ē̆m-"
364,dreg̑h-,"dreĝh-, dreĝh-"
365,"dumb-, dumbh-?","dumb-
(-bh?), dumb- (-bh?)"
366,dus-,"dus-, dus-"
367,du̯ei-,"du̯ei-, du̯ei-"
368,du̯ō(u),"du̯ō(u), du̯ō(u)"
369,"1. dhā̆bh-, nasalized dhamb(h)-","dhā̆bh-1,
nasaliert
dhamb(h)-, dhā̆bh-1, nasaliert dhamb(h)-"
370,2. dhabh-,"dhabh-2, dhabh-2"
371,dhā̆l-,"dhā̆l-, dhā̆l-"
372,"dhanu-, or dhonu-","dhanu-
oder dhonu-, dhanu- oder dhonu-"
373,dhau-,"dhau-, dhau-"
374,"1. dhē-, reduplicated dhē-dh(ē)-","dhē-1,
redupl. dhē-dh(ē)-, dhē-1, redupl. dhē-dh(ē)-"
375,2. dhē-,"dhē-2, dhē-2"
376,"3. dhē-, dhə-","dhē-3,
dhə-, dhē-3, dhə-"
377,dheb-,"dheb-, dheb-"
378,"dhebh-, dhebh-eu-","dhebh-,
dhebh-eu-, dhebh-, dhebh-eu-"
379,dhegu̯h-,"dhegʷh-, dhegʷh-"
380,"dhē(i)-, also dh-ei-?","dhē(i)-
(daneben dh-ei-?), dhē(i)- (daneben dh-ei-?)"
