Aksl.,,Old Church Slavic,,,,,
Asächs.,,Old Saxon,,,,,
Corn.,,Cornish,,,,,
Epidaur.,,Epidaurian,,,,,
Gallorom.,,Gallo-Romance,,,,,
Gr,,Greek,,,,,
Gr. ion.,,Ionic Greek,,,,,
Kret.,,Cretan,,,,,
Maked.,,Macedonian,,,,,
Maked. (illyr.),,Macedonian (Illyrian),,,,,
Nhd. Dial.,,New High German dialect,,,,,
Notes,,,,,,,
Pehl. Paz.,,Pahlavi-Pazand,,,,,
Pāli,,Pāli,,,,,
Raetorom.,,Rhaeto-Romance,,,,,
Russ.-ksl.,,Russian Church Slavic,,,,,
Schwed. mdartl.,,Swedish dialect,,,,,
Skr.,,Serbo-Croatian,,,,,
Südbal.,,South Balōči,,,,,
abair.,,Old Bavarian,,,,,
adän.,,Old Danish,,,,,
afgh.,,Afghani,,,,,
afghan.,,Afghani,,,,,
afr.,,Old French,,,,,
agerm.,,Old Germanic,,,,,
agutn.,,Old Gutnish,,,,,
aksl.,,Old Church Slavic,,,,,
ale.,,Alemannic,,,,,
alem.,,Alemannic,,,,,
alit.,,Old Lithuanian,,,,,
alt.,,old,,,,,
altn.,,Old Norse,,,,,
altnord.,,Old Norse,,,,,
altpoln.,,Old Polish,,,,,
andl.,,Old Dutch,,,,,
anord.,,Old Norse,,,,,
ap.,,Old Persian,,,,,
apoln.,,Old Polish,,,,,
aruss.,,Old Russian,,,,,
aschw.,,Old Swedish,,,,,
aserb.,,Old Serbian,,,,,
asächs.,,Old Saxon,,,,,
awfries.,,Old West Frisian,,,,,
bair.-österr.,,Bavarian-Austrian,,,,,
bal.,,Balōči,,,,,
balt.,,Baltic,,,,,
baluči,,Balōči,,,,,
balūčī,,Balōči,,,,,
bask.,,Basque,,,,,
bayr.,,Bavarian,,,,,
brit.,,Brittanic,,,,,
brit. ON,,Brittanic place name,,,,,
böot.,,Boeotian,,,,,
corn.,,Cornish,,,,,
finn.,,Finnish,,,,,
franz.,,French,,,,,
fries.,,Frisian,,,,,
frz.,,French,,,,,
fränk.,,Frankish,,,,,
gael.,,Gaelic,,,,,
gall.-rom.,,Gallo-Romance,,,,,
gallo-rom.,,Gallo-Romance,,,,,
gallorom.,,Gallo-Romance,,,,,
germ.,,Germanic,,,,,
gort.,,Gortynian,,,,,
gr.-illyr.,,Greco-Illyrian,,,,,
grc,,(no examples of this in text),,,,,
grruss.,,(Polish?),,,,,
gthav.,,Gathic Avestan,,,,,
hess.-fränk.,,Hessian Frankish,,,,,
hett.,,Hittite,,,,,
hispan.,,Hispanic,,,,,
hit.,,Hittite,,,,,
ion.,,Ionic,,,,,
isl.,,Islandic,,,,,
ital.-lombard.,,Italo-Lombardic,,,,,
kaschub.,,Kaschubian,,,,,
kelto-germ.,,Celto-Germanic,,,,,
kelto-ligur.,,Celto-Ligurian,,,,,
khotansak.,,Khotanese,,,,,
kimmer.,,Cimmerian,,,,,
klruss.,,Ukrainian,,,,,
kurd.,,Kurdish,,,,,
kurisch,,Curonian,,,,,
kymr.,,Welsh,,,,,
kypr.,,Cypriot,,,,,
lak.,,Laconian,,,,,
leg.,,read,,,,,
lig.,,Ligurian,,,,,
ligur.,,Ligurian,,,,,
limb.,,Limburgish,,,,,
litt.,,Lithuanian,,,,,
maked.,,Macedonian,,,,,
manx,,Manx,,,,,
marr.,,Marrucinian,,,,,
mars.-lat.,,Marsian-Latin,,,,,
md.,,Middle German,,,,,
mlat.,,Middle Latin,,,,,
mndd.,,Middle Low German,,,,,
mp.,,Middle Persian,,,,,
mparth.,,Middle Parthian,,,,,
nbret.,,New Bretonic,,,,,
ncymr.,,Modern Welsh,,,,,
nd.,,Modern German,,,,,
ndd.,,Dutch,,,,,
ndd. (Estland),,Dutch (Estonia),,,,,
ndd. ostfries.,,Dutch East Frisian,,,,,
ndl.,,Dutch,,,,,
ne.,,Modern English,,,,,
nengl.,,Modern English,,,,,
neugael.,,Modern Gaelic,,,,,
niedersorb.,,Low Sorbian,,,,,
nisl.,,Modern Icelandic,,,,,
nkorn.,,Modern Cornish,,,,,
nl.,,Dutch,,,,,
nnd.,,(some kind of Swedish),,,,,
nndd.,,Modern Low German,,,,,
nnl.,,Modern Dutch,,,,,
norweg.,,Norwegian,,,,,
notes,,,,,,,
nschwed.,,Modern Swedish,,,,,
nsorb.,,Modern Sorbian,,,,,
ofries.,,Old Frisian,,,,,
osorb.,,Old Sorbian,,,,,
ostfries.,,East Frisian,,,,,
ostlit.,,East Lithuanian,,,,,
parth.,,Parthian,,,,,
polab.,,Polabian,,,,,
pomm.,,(some kind of Swedish),,,,,
pomm.-rüg.,,(some kind of Swedish),,,,,
preuß.-lit.,,Prussian-Lithuanian,,,,,
prov.,,Provencal,,,,,
prākr.,,Prakrit,,,,,
pälign.,,Paelignian,,,,,
pām.,,Pamir,,,,,
r.-ksl.,,Russian Church Slavic,,,,,
rom.,,Romanian,,,,,
rum.,,Romanian,,,,,
russ-ksl.,,Russian Church Slavic,,,,,
russ.-aksl.,,Russian Old Church Slavic,,,,,
russ.-alt.,,"(Russian, old?)",,,,,
russ.-ksl.,,Russian Church Slavic,,,,,
rätoroman.,,Rhaeto-Romance,,,,,
schott.-gäl.,,Scots Gaelic,,,,,
schweiz,,Swiss,,,,,
schweiz.,,Swiss,,,,,
serb.-ksl.,,Serbo-Croatian,,,,,
skr.,,Serbo-Croatian,,,,,
skr.-ksl.,,Serbo-Croatian,,,,,
skyth.,,Scythian,,,,,
sl.,,Slavic,,,,,
slav.,,Slavic,,,,,
slav. (z. B. klr.),,"Slavic (e.g., Ukrainian )",,,,,
slov.,,Slovakian,,,,,
slovak.,,Slovakian,,,,,
sloven,,Slovenian,,,,,
sloven.,,Slovenian,,,,,
slovz.,,Slovincian ,,,,,
